run_id=security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod1-complz4-trial2/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4982 records sent, 995.6 records/sec (0.97 MB/sec), 13.9 ms avg latency, 598.0 ms max latency.
5007 records sent, 1000.6 records/sec (0.98 MB/sec), 4.3 ms avg latency, 26.0 ms max latency.
5003 records sent, 1000.4 records/sec (0.98 MB/sec), 4.5 ms avg latency, 24.0 ms max latency.
5005 records sent, 1000.0 records/sec (0.98 MB/sec), 4.1 ms avg latency, 9.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.0 ms avg latency, 12.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 13.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 18.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5005 records sent, 1000.6 records/sec (0.98 MB/sec), 3.9 ms avg latency, 8.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 18.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 4.0 ms avg latency, 25.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 20.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 4.0 ms avg latency, 10.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 19.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 14.0 ms max latency.
5000 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
100000 records sent, 999.570185 records/sec (0.98 MB/sec), 4.50 ms avg latency, 598.00 ms max latency, 4 ms 50th, 7 ms 95th, 10 ms 99th, 102 ms 99.9th.
