producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4996 records sent, 999.0 records/sec (0.98 MB/sec), 9.7 ms avg latency, 522.0 ms max latency.
5004 records sent, 1000.6 records/sec (0.98 MB/sec), 5.0 ms avg latency, 19.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.9 ms avg latency, 18.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 13.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.8 ms avg latency, 19.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 9.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 4.6 ms avg latency, 9.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 4.6 ms avg latency, 9.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 4.6 ms avg latency, 13.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 4.7 ms avg latency, 11.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 4.7 ms avg latency, 10.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 4.8 ms avg latency, 11.0 ms max latency.
5004 records sent, 1000.8 records/sec (0.98 MB/sec), 4.8 ms avg latency, 13.0 ms max latency.
100000 records sent, 999.760058 records/sec (0.98 MB/sec), 4.98 ms avg latency, 522.00 ms max latency, 5 ms 50th, 7 ms 95th, 9 ms 99th, 53 ms 99.9th.
