run_id=security-overhead-final-factorial-tls-b5-rf5-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1
producer_count=1
----- /var/lib/kafka-client/results/security-overhead-final-factorial-tls-b5-rf5-isr3-msg1024-tps1000-batch131072-acks1-prod1-compnone-trial1/producer-perf-1.log -----
producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4997 records sent, 999.2 records/sec (0.98 MB/sec), 50.1 ms avg latency, 1066.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.2 ms avg latency, 17.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 8.0 ms max latency.
5004 records sent, 999.8 records/sec (0.98 MB/sec), 4.1 ms avg latency, 17.0 ms max latency.
5006 records sent, 1000.6 records/sec (0.98 MB/sec), 4.0 ms avg latency, 15.0 ms max latency.
5003 records sent, 999.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 24.0 ms max latency.
5007 records sent, 1001.0 records/sec (0.98 MB/sec), 4.0 ms avg latency, 18.0 ms max latency.
5005 records sent, 1000.4 records/sec (0.98 MB/sec), 4.2 ms avg latency, 29.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 4.1 ms avg latency, 31.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 17.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 13.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 4.0 ms avg latency, 29.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 3.9 ms avg latency, 13.0 ms max latency.
4999 records sent, 999.8 records/sec (0.98 MB/sec), 4.0 ms avg latency, 15.0 ms max latency.
5004 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 13.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 24.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 21.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 13.0 ms max latency.
100000 records sent, 999.740068 records/sec (0.98 MB/sec), 6.31 ms avg latency, 1066.00 ms max latency, 4 ms 50th, 7 ms 95th, 178 ms 99th, 231 ms 99.9th.
